dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
29/06/2021,29,6,2021,45,0,Estonia,EE,EST,1328976,Europe
30/06/2021,30,6,2021,36,0,Estonia,EE,EST,1328976,Europe
01/07/2021,1,7,2021,21,0,Estonia,EE,EST,1328976,Europe
02/07/2021,2,7,2021,38,0,Estonia,EE,EST,1328976,Europe
03/07/2021,3,7,2021,38,0,Estonia,EE,EST,1328976,Europe
04/07/2021,4,7,2021,27,0,Estonia,EE,EST,1328976,Europe
05/07/2021,5,7,2021,19,1,Estonia,EE,EST,1328976,Europe
06/07/2021,6,7,2021,50,0,Estonia,EE,EST,1328976,Europe
07/07/2021,7,7,2021,42,0,Estonia,EE,EST,1328976,Europe
08/07/2021,8,7,2021,58,0,Estonia,EE,EST,1328976,Europe
09/07/2021,9,7,2021,39,0,Estonia,EE,EST,1328976,Europe
10/07/2021,10,7,2021,64,0,Estonia,EE,EST,1328976,Europe
11/07/2021,11,7,2021,27,0,Estonia,EE,EST,1328976,Europe
12/07/2021,12,7,2021,21,0,Estonia,EE,EST,1328976,Europe
13/07/2021,13,7,2021,54,0,Estonia,EE,EST,1328976,Europe
14/07/2021,14,7,2021,56,0,Estonia,EE,EST,1328976,Europe
15/07/2021,15,7,2021,63,1,Estonia,EE,EST,1328976,Europe
16/07/2021,16,7,2021,62,0,Estonia,EE,EST,1328976,Europe
17/07/2021,17,7,2021,64,0,Estonia,EE,EST,1328976,Europe
18/07/2021,18,7,2021,41,0,Estonia,EE,EST,1328976,Europe
19/07/2021,19,7,2021,34,0,Estonia,EE,EST,1328976,Europe
20/07/2021,20,7,2021,81,0,Estonia,EE,EST,1328976,Europe
21/07/2021,21,7,2021,96,0,Estonia,EE,EST,1328976,Europe
22/07/2021,22,7,2021,120,0,Estonia,EE,EST,1328976,Europe
23/07/2021,23,7,2021,183,0,Estonia,EE,EST,1328976,Europe
24/07/2021,24,7,2021,6,0,Estonia,EE,EST,1328976,Europe
25/07/2021,25,7,2021,90,0,Estonia,EE,EST,1328976,Europe
26/07/2021,26,7,2021,66,0,Estonia,EE,EST,1328976,Europe
27/07/2021,27,7,2021,193,0,Estonia,EE,EST,1328976,Europe
28/07/2021,28,7,2021,174,0,Estonia,EE,EST,1328976,Europe
29/07/2021,29,7,2021,220,0,Estonia,EE,EST,1328976,Europe
30/07/2021,30,7,2021,197,1,Estonia,EE,EST,1328976,Europe
31/07/2021,31,7,2021,249,0,Estonia,EE,EST,1328976,Europe
01/08/2021,1,8,2021,128,0,Estonia,EE,EST,1328976,Europe
02/08/2021,2,8,2021,86,0,Estonia,EE,EST,1328976,Europe
03/08/2021,3,8,2021,207,0,Estonia,EE,EST,1328976,Europe
04/08/2021,4,8,2021,243,1,Estonia,EE,EST,1328976,Europe
05/08/2021,5,8,2021,258,3,Estonia,EE,EST,1328976,Europe
06/08/2021,6,8,2021,241,0,Estonia,EE,EST,1328976,Europe
07/08/2021,7,8,2021,230,1,Estonia,EE,EST,1328976,Europe
08/08/2021,8,8,2021,126,0,Estonia,EE,EST,1328976,Europe
09/08/2021,9,8,2021,147,0,Estonia,EE,EST,1328976,Europe
10/08/2021,10,8,2021,289,0,Estonia,EE,EST,1328976,Europe
